date,name,simulation,toning,monochromatic wc,monochromatic mg,grain strength,grain size,color chrome effect,color chrome effect blue,wb,wb shift red,wb shift blue,dynamic range,highlight,shadow,color,sharpness,noise reduction,clarity,iso,exposure compensation,link
2022-11-08,Classic Kodak,classic chrome,0,0,0,strong,small or large,off,off,shade,-1,2,dr400,-2.0,1.0,4,-1,-4,0,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/11/08/fujifilm-x-t30-x-t3-x-trans-iii-film-simulation-recipe-classic-kodak/
2022-10-31,Chrome Slide,classic negative,0,0,0,weak,small,strong,strong,daylight,-3,1,dr400,1.0,1.0,4,0,-4,3,160 to 6400,0 to +2/3,https://fujixweekly.com/2022/10/31/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-chrome-slide/
2022-10-21,Cinematic Negative,eterna,0,0,0,weak,small or large,strong,off,incandescent,8,-9,dr400,1.0,2.0,4,-1,-4,0,160 to 6400,0 to +2/3,https://fujixweekly.com/2022/10/21/fujifilm-x-t30-x-t3-film-simulation-recipe-cinematic-negative/
2022-10-13,KodaNeg NC (without filter),provia,0,0,0,weak,small,strong,off,auto,6,-6,dr400,-1.0,0.5,-4,0,-4,-3,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/10/13/four-fujifilm-x-trans-iv-film-simulation-recipes-kodaneg-vc-nc/
2022-10-13,KodaNeg VC (without filter),provia,0,0,0,weak,small,strong,off,auto,6,-6,dr400,-1.0,0.5,4,0,-4,-3,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/10/13/four-fujifilm-x-trans-iv-film-simulation-recipes-kodaneg-vc-nc/
2022-10-05,Fujichrome Provia 100F,classic chrome,0,0,0,weak,small,strong,strong,daylight,-2,5,dr400,-1.0,3.0,4,-1,-4,-3,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/10/05/fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujichrome-provia-100f/
2022-09-27,Analog Gold,eterna bleach bypass,0,0,0,strong,small,strong,off,daylight,4,-9,dr400,-2.0,1.5,3,-2,-4,-4,160 to 6400,+1/3 to +1,https://fujixweekly.com/2022/09/27/fujifilm-x-e4-film-simulation-recipe-analog-gold/
2022-09-26,September Summer,classic negative,0,0,0,weak,small,off,weak,5500k,3,-7,dr400,-1.0,-1.0,1,0,-4,-4,160 to 6400,0 to +1,https://fujixweekly.com/2022/09/26/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-september-summer/
2022-09-07,Vintage Analog,classic negative,0,0,0,strong,small,off,weak,9100k,-4,4,dr200,2.0,0.0,-4,-1,-4,-2,160 to 6400,-1/3 to +1/3,https://fujixweekly.com/2022/09/07/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-vintage-analog/
2022-09-01,GAF 500,eterna,0,0,0,strong,large,off,strong,2900k,9,-9,dr100,2.0,4.0,0,-3,-4,-2,12800 to 12800,-2/3 to +2/3,https://fujixweekly.com/2022/09/01/fujifilm-x-e4-x-trans-iv-film-simulation-recipe-gaf-500/
