id,recipe long
2022-11-08__Classic Kodak,"simulation: classic chrome
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: small or large
color chrome effect: off
color chrome effect blue: off
wb: shade
wb shift red: -1
wb shift blue: 2
dynamic range: dr400
highlight: -2.0
shadow: 1.0
color: 4
sharpness: -1
noise reduction: -4
clarity: 0
iso: 160 to 6400
exposure compensation: +1/3 to +1"
2022-10-31__Chrome Slide,"simulation: classic negative
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: strong
color chrome effect blue: strong
wb: daylight
wb shift red: -3
wb shift blue: 1
dynamic range: dr400
highlight: 1.0
shadow: 1.0
color: 4
sharpness: 0
noise reduction: -4
clarity: 3
iso: 160 to 6400
exposure compensation: 0 to +2/3"
2022-10-21__Cinematic Negative,"simulation: eterna
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small or large
color chrome effect: strong
color chrome effect blue: off
wb: incandescent
wb shift red: 8
wb shift blue: -9
dynamic range: dr400
highlight: 1.0
shadow: 2.0
color: 4
sharpness: -1
noise reduction: -4
clarity: 0
iso: 160 to 6400
exposure compensation: 0 to +2/3"
2022-10-13__KodaNeg NC (without filter),"simulation: provia
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: strong
color chrome effect blue: off
wb: auto
wb shift red: 6
wb shift blue: -6
dynamic range: dr400
highlight: -1.0
shadow: 0.5
color: -4
sharpness: 0
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: +1/3 to +1"
2022-10-13__KodaNeg VC (without filter),"simulation: provia
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: strong
color chrome effect blue: off
wb: auto
wb shift red: 6
wb shift blue: -6
dynamic range: dr400
highlight: -1.0
shadow: 0.5
color: 4
sharpness: 0
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: +1/3 to +1"
2022-10-05__Fujichrome Provia 100F,"simulation: classic chrome
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: strong
color chrome effect blue: strong
wb: daylight
wb shift red: -2
wb shift blue: 5
dynamic range: dr400
highlight: -1.0
shadow: 3.0
color: 4
sharpness: -1
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: +1/3 to +1"
2022-09-27__Analog Gold,"simulation: eterna bleach bypass
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: small
color chrome effect: strong
color chrome effect blue: off
wb: daylight
wb shift red: 4
wb shift blue: -9
dynamic range: dr400
highlight: -2.0
shadow: 1.5
color: 3
sharpness: -2
noise reduction: -4
clarity: -4
iso: 160 to 6400
exposure compensation: +1/3 to +1"
2022-09-26__September Summer,"simulation: classic negative
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: off
color chrome effect blue: weak
wb: 5500k
wb shift red: 3
wb shift blue: -7
dynamic range: dr400
highlight: -1.0
shadow: -1.0
color: 1
sharpness: 0
noise reduction: -4
clarity: -4
iso: 160 to 6400
exposure compensation: 0 to +1"
2022-09-07__Vintage Analog,"simulation: classic negative
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: small
color chrome effect: off
color chrome effect blue: weak
wb: 9100k
wb shift red: -4
wb shift blue: 4
dynamic range: dr200
highlight: 2.0
shadow: 0.0
color: -4
sharpness: -1
noise reduction: -4
clarity: -2
iso: 160 to 6400
exposure compensation: -1/3 to +1/3"
2022-09-01__GAF 500,"simulation: eterna
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: large
color chrome effect: off
color chrome effect blue: strong
wb: 2900k
wb shift red: 9
wb shift blue: -9
dynamic range: dr100
highlight: 2.0
shadow: 4.0
color: 0
sharpness: -3
noise reduction: -4
clarity: -2
iso: 12800 to 12800
exposure compensation: -2/3 to +2/3"
2022-08-29__Vintage Kodacolor,"simulation: classic chrome
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: small or large
color chrome effect: off
color chrome effect blue: off
wb: 9100k
wb shift red: -4
wb shift blue: 4
dynamic range: dr200
highlight: 2.0
shadow: 0.0
color: -4
sharpness: -1
noise reduction: -4
clarity: 0
iso: 160 to 12800
exposure compensation: -1/3 to +1/3"
2022-08-23__Kodak Max 800,"simulation: classic negative
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: small
color chrome effect: strong
color chrome effect blue: off
wb: 7300k
wb shift red: -5
wb shift blue: -2
dynamic range: dr400
highlight: -2.0
shadow: 1.0
color: -1
sharpness: -2
noise reduction: -4
clarity: -4
iso: 160 to 6400
exposure compensation: 0 to +2/3"
2022-08-17__Fujicolor Analog,"simulation: classic negative
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: strong
color chrome effect blue: strong
wb: 6900k
wb shift red: -5
wb shift blue: 5
dynamic range: dr400
highlight: -1.0
shadow: 0.0
color: -3
sharpness: 0
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: 0 to +1"
2022-08-04__Pacific Blues,"simulation: classic negative
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: large
color chrome effect: strong
color chrome effect blue: strong
wb: 5800k
wb shift red: 1
wb shift blue: -3
dynamic range: dr400
highlight: -2.0
shadow: 3.0
color: 4
sharpness: -2
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: +2/3 to +1"
2022-08-02__Arizona Analog,"simulation: eterna
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: small
color chrome effect: weak
color chrome effect blue: weak
wb: daylight
wb shift red: 6
wb shift blue: -3
dynamic range: dr400
highlight: -1.0
shadow: 3.0
color: -2
sharpness: -2
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: +1/3 to +1"
2022-07-21__Pure Negative,"simulation: pro neg. std
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: weak
color chrome effect blue: off
wb: auto
wb shift red: 1
wb shift blue: -2
dynamic range: dr200
highlight: 1.0
shadow: 2.0
color: -4
sharpness: 1
noise reduction: -4
clarity: -2
iso: 160 to 6400
exposure compensation: 0 to +1/3"
2022-06-29__SantaColor,"simulation: eterna
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: strong
color chrome effect blue: off
wb: 5100k
wb shift red: 5
wb shift blue: -3
dynamic range: dr200
highlight: -2.0
shadow: 4.0
color: 4
sharpness: -2
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: +2/3 to +1"
2022-06-28__Nostalgic Print,"simulation: pro neg. std
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: small
color chrome effect: weak
color chrome effect blue: weak
wb: 4700k
wb shift red: -3
wb shift blue: -4
dynamic range: dr400
highlight: -2.0
shadow: 0.0
color: -4
sharpness: -2
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: +2/3 to +1"
2022-06-15__Low Key,"simulation: classic negative
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: strong
color chrome effect blue: weak
wb: daylight
wb shift red: -2
wb shift blue: -4
dynamic range: dr200
highlight: 1.0
shadow: 2.0
color: 4
sharpness: -1
noise reduction: -4
clarity: -2
iso: 160 to 6400
exposure compensation: -2/3 to -1 1/3"
2022-06-13__Pushed CineStill 800T (X100V + X-Pro3),"simulation: eterna
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: large
color chrome effect: strong
color chrome effect blue: strong
wb: 7700k
wb shift red: -9
wb shift blue: 7
dynamic range: dr400
highlight: 3.0
shadow: 1.0
color: -2
sharpness: 0
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: -1/3 to +2/3"
2022-06-11__Reggie's Portra,"simulation: classic chrome
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: strong
color chrome effect blue: weak
wb: auto
wb shift red: 2
wb shift blue: -4
dynamic range: dr-auto
highlight: -1.0
shadow: -1.0
color: 2
sharpness: -2
noise reduction: -4
clarity: 0
iso: 160 to 6400
exposure compensation: +1/3 to +1"
2022-06-10__Bright Kodak,"simulation: classic chrome
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: large
color chrome effect: off
color chrome effect blue: off
wb: daylight
wb shift red: 3
wb shift blue: -7
dynamic range: dr400
highlight: -2.0
shadow: -2.0
color: 4
sharpness: -2
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: +1 to +1 2/3"
2022-05-18__Pushed CineStill 800T,"simulation: eterna bleach bypass
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: large
color chrome effect: strong
color chrome effect blue: strong
wb: 7700k
wb shift red: -9
wb shift blue: 5
dynamic range: dr400
highlight: -0.5
shadow: -1.5
color: 3
sharpness: 0
noise reduction: -4
clarity: -3
iso: 160 to 6400
exposure compensation: -1/3 to +2/3"
2022-05-15__Vibrant Velvia,"simulation: velvia
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: weak
grain size: small
color chrome effect: strong
color chrome effect blue: strong
wb: daylight
wb shift red: -1
wb shift blue: 1
dynamic range: dr400
highlight: -2.0
shadow: -1.0
color: 4
sharpness: 0
noise reduction: -4
clarity: 4
iso: 160 to 6400
exposure compensation: +2/3 to +1"
2022-05-06__Fujicolor Natura 1600,"simulation: classic negative
toning: 0
monochromatic wc: 0
monochromatic mg: 0
grain strength: strong
grain size: large
color chrome effect: strong
color chrome effect blue: strong
wb: 5500k
wb shift red: -1
wb shift blue: -2
dynamic range: dr400
highlight: -1.5
shadow: 1.5
color: -2
sharpness: -2
noise reduction: -4
clarity: -4
iso: 160 to 6400
exposure compensation: +1/3 to +1"
